event_name,category,category_id,description,
Rotary Job fair Lead Host Club Rotary Club of Bombay Seacoast,Career & Education,31,"Rotary Job fair with over 100 Job openings About Organizer: We are neighbors, community leaders and global citizens uniting for the common good and taking on some of the world's most pressing challenges. http://rotarydist3141.com",
"Global Education Fair, Meet Top Institutions @Mumbai",Career & Education,31,"Global Education Fair, 07th October, 2018 @Hotel Sahara Star, Mumbai The Global Education Fairs are excellent platforms for students to get first-hand information from representatives of universities from across the globe. These events are attended by scores of overseas study aspirants each year, who relish the opportunity of getting comprehensive information about renowned universities from different countries, all under one roof. Global Opportunities is organising the Global Education Fair at Hotel Sahara Star, Mumbai on 07th October 2018.Top universities from popular study destinations including the United Kingdom, the United States, Canada, Australia, New Zealand, Ireland, Singapore, Germany, Dubai and Malaysia among many others, are participating in this event. The purpose of this event is to provide you with all the information you will need while finalizing your plans to study overseas, ranging from programme selection, the applications process, scholarships you can avail, education loans to fund your aspirations and the visa process to study at a country of your choice. Attend India�s biggest education fair and choose from 80+ Institution representatives to meet with and see your dream become a reality. Chance to get fee waivers* & scholarships*, FREE entry for all. Programmes Available: � Foundation � Diploma � Undergraduate � Postgraduate Advantages of Global Education fair � Meet 80+* universities under one roof � Direct interaction with the university delegates � Application fee waivers � On the spot profile evaluation and selecting the best course � On the spot application submission � Scholarship for eligible students � Post-study work right information � Get information on career outcome � 10% discount on coaching charges � Facility of Education Loan � Pre-visa counselling and documentation � To help us expedite your admission decision, please bring your original Academic Transcripts, Statements of Purpose, Letters of Recommendation, passport and English proficiency test scores to take the advantage of on-spot offers. To save time at the venue, it is highly recommended that you pre-register online and visit the Global Opportunities office prior to attending the Global Education Fair. We know that you will be seeking the advice and guidance of your parents, family and friends when making your decision, so we are pleased to extend our invitation to them too. City � Mumbai Venue �Hotel Sahara Star, Mumbai Time: - 11:00 am - 5:00 pm More info call- 1800111119 Register online: http://www.global-opportunities.net/registeronline.aspx",
Education Fair in Mumbai,Career & Education,31,Northeastern Education Fair - 2018 About Organizer: The Office of Global Services (formerly the ISSI) acts as a catalyst for intercultural awareness and provides support for the international community http://www.northeastern.edu/ogs,
Global Education Fair 2018,Career & Education,31,"The GLOBAL INVESTMENT IMMIGRATION SUMMIT 2018 Bengalore (GIIS18) will be an important date in the calendar for direct investors, students seeking immigration, immigration agents, global mobility managers, project developers and regional centers. BLS Global is excited to bring to you the GLOBAL EDUCATION FAIR to Bengaluru, India on 20th and 21st October 2018. The GIIS Global Education Fair aims to provide an easy and fast way for you to study abroad by giving you direct access to world class institutions and experts across the globe so that you can: � Obtain on the spot counselling by professional staff � Learn more about international admission requirements in 2019/20 and scholar ships opportunities � Hear from the Experts � Apply to the best universities around the globe � Meet admissions representatives from USA, UK, Spain, Ireland, Canada and more Over two conference-packed days, the investment migration event will attract over 500 paid for delegates and 2000 students ranging HNWIs (high-net-worth individuals) together with leading business figures, senior government officials, industry professionals, as well as top-tier financial and business media. India is a migration superpower. Its evident education is a driver for migration and we are delighted to confirm, we will be co-hosting Global Education Fair alongside Global Investment Immigration Summit, to provide an easy and fast way for Students and families to understand Immigration law as it can be complex. For the latest information visit the event website at: www.events.citizenshipinvestment.org Book your place now - use the Eventbrite Tickets button above! Contact us: Tel: +44 (0) 207 241 1589 Email: sam@blsmedia.co.uk",
Content Writing Course by Henry Harvin Education,Career & Education,31,"Henry Harvin Education introduces 32 hours Classroom Based Training and Certification course on content writing creating professional content writer, marketers, strategists. Gain Proficiency in creating 30+ content types and become a Certified Digital Content Writer (CDCW professional). About the Course Duration/Mode/Certificate- 4 days/32 hours Classroom Training and Certification creating Competent Writers and Strategists- Certified Digital Content Writer (CDCW) Course. Curriculum- Course is a carefully selected mixture of topics from overall content writing domain. Thereby taking into account all topics including latest best practices as well as traditional techniques of the industry (Most Comprehensive Content Writing Course in India) Trainer- Delivered by Senior Industry Professionals having extensive experience of Content Writing, Marketing and Strategy in diverse domains and industries. These practitioners are also empanelled as Domain Experts with Henry Harvin� Education Employment Support- Get 100% Support on Placement, Internship, Freelance Project Support Curriculum Language Specifications (9 Sub-Modules) Digital Aspects (14 Sub-Modules) Content Types and Formats (17 Sub-Modules) Academic Content Types (8 Sub-Modules) Communication and Content Strategy (8 Sub-Modules) Taking Content to Work (8 Sub-Modules) Takeaways Distinguish your profile with global credential of 'Certified Digital Content Writer' and showcase yourself as a certified content writer by using the hallmark of CDCW next to your name For Ex: Ms.Ria (CDCW) Experience of professional content writing with industry tools, techniques, case studies, delivery methodologies, practical models, strategies, examples, session activities, experience sharing, videos, PPT's and industry best practice Skill to translate thoughts into words that not only attract views but also monetary benefits on digital media Add-On Supplements provided to effectively deliver projects (Logo Software, E-Books, Question Making Software, CW Guides/Workbooks, Mobile App etc) Get 100% Support in Placement, Internship and Project Supportexclusively entitled for CDCW Professionals. Checkout Proof of our Job Updates on Facebook (Facebook Jobs) Why choose us? Ranked No.1 Content Writing Course in Delhi by Trainings360 Ranked No.2 Content Writing Institute in India by Trainings360 Schedule, Fees & Location Dates:30th September, 7th, 14th, and 21st October 2018 Days: All sunday Batch Timings: 10am - 6pm Location: Bangalore Fees: INR 15000/- (Lunch and Refreshments inclusive) Group Discounts Available. Last Date: Seat availability on first come first serve basis only. First 20 registration only",
Abroad Education Fair 2018 - Free Registration,Career & Education,31,"More than 350 Universities to choose from, across 15 countries. Do not miss the chance to find the right Country for you. About Organizer: ELCOM-as an organisation has 4 different wings.The main aim of our company is to provide quality counselling and help students to study abroad (Overseas Education Consultants). We also provide training for the test prep like GRE,GMAT,SAT,IELTS ,TOEFL. http://www.gretoppers.com",
"Attend IDP's UK, USA, Canada and New Zealand Education Fair",Career & Education,31,"Get ready to meet top Overseas Universities in Coimbatore. Attend IDP's USA, UK, CANADA & New Zealand education fair & interact directly with university representatives. Visit & Get following benefits at the venue. 1. On the spot comprehensive and personalized education counslling. 2. One on one interaction with representatives of leading institutions. 3. Information on scholarships. 4. Avail application fee waivers etc. Hurry Visit : Vivanta By Taj Coimbatore, 4th October, between 1pm to 5pm. Contact now : 0422 4411888",
"2018 - 19th International Conference on Teaching, Education & Learning (ICTEL), October 24-25, Colombo",Career & Education,31,"2018 - 19th International Conference on Teaching, Education & Learning (ICTEL), October 24-25, Colombo Conference Name: 2018 - 19th International Conference on Teaching, Education & Learning (ICTEL), October 24-25, Colombo https://www.adtelweb.org/2018---19th-international-conference-on-teaching-education-and-learning-ictel-october-24-25-colombo-about-60 Conference Dates: 24-25 October 2018 Conference Venue: Galle Face Hotel, Colombo, Sri Lanka Deadline for Abstract/Paper Submissions: 22 October 2018 Contact E-Mail ID: info@adtelweb.org Association President: Prof. Vivian Iglesia-Buhain Language: English Registration: https://www.adtelweb.org/registration-form.php?id=60&status=registration",
Poetry Writing Workshop,Literature & stories,15,"Hello Mumbai, Who do we have to K*ll around here to write poetry? Just some rules. Poems let you be yourself and give you a safe space for your feelings. We don�t have to be a Shakespeare or Keats to get this right, do we? We can be ourselves, and still write poems. And still have fun, while we�re at it! Whether it�s about a beautiful stranger in a caf� or a cute kitten your mother didn�t let you take home, we�ve all written about things that moved us. In our first ever exclusive poetry writing workshop, you can come by yourself-and walk out with poems you never knew were yours. We�ll teach you: 1) What works in poetry 2) How to avoid clich�s 3) How to build metaphors 4) Where to look for inspiration 5) And how to think out of the box. Why do you need to attend this workshop? 1. Skip the queue of getting published. 2. Get a chance to join the select group of TTT writers, as this will bring you closer to the chance of getting to work with us. 3. Throw yourself into the deep end of writing challenges. 4. If one of the stories written by you in the workshop gets published, you get to be part of a remote internship with us. 5. You'll also a receive a digital certificate saying you attended the workshop. 6. Age has never been a bar to write. So whether you�re 16 or 61, come, we�d love for you to be a part of this. As you read this, everyone�s running to book their seats. So book yours soon, before they run out. And don�t forget to inform a friend or two. Date - 6th October, 2018 Time - 3 pm Duration - 2 hours 30 mins Co host - https://www.facebook.com/MoonshineAndheri/",
18th POETRY OPEN MIC,Literature & stories,15,"Irshaad's 18th Poetry Open Mic"" No Entry Charges!! Free & open for all Any Language...Any Genre...We are all ears :) BUT! Specifically - NO Bad Words or Hate Speech would be tolerated. Also we will be having special guest Shayar - Dr. Wasif Khan Yaar (You have to listen to him!!) Date - 6th Oct 2018 Saturday Venue - QTube Cafe, 3, Moray House, S.V. Road, Bandra (West) Mumbai, Maharashtra 400050 Host - Devroop Sharma Time - 4pm to 9.30pm Limited Slots. Pl come early for a fixed slot P.S. Get your Photo Ids (Venue Requirements) Like our page on facebook https://www.facebook.com/arzkiyairshaad/ Please note : The QTube Cafe has just under gone a few renovations because of which the capacity has come down from 50 people to 35 people only. So all those people who wish to participate better come early to get a sure slot and entry as well",
